avoids,escapes,percent avoid,avoid latency,escape latency,trial crossings,mouse,dayOnType,sex
4,26,0.13333333333333333,2.8325,6.926923076923076,30,39,2,Male
22,8,0.7333333333333333,2.69,5.9075,48,750,7,Female
10,20,0.3333333333333333,3.557,5.499499999999999,38,38,6,Male
23,7,0.7666666666666667,3.1134782608695644,5.491428571428572,45,38,7,Male
1,29,0.03333333333333333,3.41,5.564137931034482,35,845,1,Female
11,19,0.36666666666666664,3.5681818181818183,5.764736842105263,32,752,4,Female
9,21,0.3,1.911111111111111,5.628095238095239,30,557,3,Male
5,25,0.16666666666666666,2.962,6.4584,35,45,3,Female
8,22,0.26666666666666666,2.2887500000000003,5.679545454545454,36,557,2,Male
10,20,0.3333333333333333,2.057,5.5725,48,110,2,Female
2,28,0.06666666666666667,0.7150000000000001,5.500000000000001,39,556,1,Male
17,13,0.5666666666666667,3.4470588235294115,5.688461538461538,32,752,5,Female
22,8,0.7333333333333333,2.6609090909090907,5.72875,32,106,6,Female
2,28,0.06666666666666667,2.365,5.836785714285716,54,749,1,Female
3,27,0.1,2.983333333333333,5.952592592592593,35,117,1,Male
