session_idx,mouse,group,sex,day,date,n_irts,pi_0,pi_1,pi_2,pi_3,pi_4
752,580.1-1,naive,M,14,230721,544,0.14506961,0.09834855,0.15174073,0.55915797,0.045683127
753,647-L,stress,M,3,240304,728,0.24641335,0.25273722,0.18614231,0.2554172,0.05928992
754,723-RL,stress,M,10,241204,125,0.039837953,0.16808908,0.046133034,0.21716854,0.5287714
755,645-0,naive,M,4,240306,282,0.05843458,0.18962757,0.34960717,0.0010767066,0.40125397
756,728-R,naive,M,10,241205,282,0.032873217,0.04353513,0.30061382,0.32799667,0.29498115
757,645-R,naive,M,12,240319,1266,0.12552257,0.45989943,0.19820952,0.21636753,9.999997e-07
758,819-R,stress,M,1,250827,397,0.12668276,0.27865058,0.22664939,0.21665065,0.15136662
759,725-0,stress,M,10,241205,136,0.10661838,0.14200398,0.08802876,0.0027541094,0.66059476
760,489-2,naive,M,4,220730,463,0.1537613,0.1777122,0.18695343,0.32305047,0.15852258
761,722-RL,naive,F,14,241209,488,0.08415994,0.29417527,0.09666615,0.42074442,0.10425425
762,499-2,stress,M,2,220729,677,0.110225245,0.41799998,0.23858982,0.15570253,0.077482395
763,499-1,stress,M,5,220731,432,0.27977294,0.118674554,0.15194948,0.26216128,0.18744174
764,647-0,naive,M,12,240319,444,0.22485687,9.999995e-07,0.17718542,0.49585637,0.10210027
765,822-0,naive,F,4,250903,268,0.01827724,0.0975834,0.03592286,0.6045731,0.24364343
766,491-2,naive,F,4,220731,353,0.063491784,0.010668557,0.4003456,0.25240302,0.27309105
767,499-3,stress,M,5,220801,772,0.16234255,0.3965855,0.105080016,0.33599105,1e-06
768,644-R,stress,M,3,240304,714,0.0145446295,0.42799473,0.33066514,0.116484776,0.11031074
769,493-1,naive,F,2,220729,517,0.19808632,0.37913835,0.21933497,0.0971852,0.10625515
770,579.1-2,naive,F,1,230704,343,0.3997185,0.0903671,0.07543825,0.22165981,0.21281637
771,578.1-1,naive,F,13,230720,109,0.12410778,0.1394489,0.099121064,9.999997e-07,0.63732123
772,648-L,stress,F,5,240307,353,0.04280626,0.10666213,0.13612208,0.5104718,0.20393774
773,648-R,stress,F,9,240316,519,0.004786715,0.12580644,0.27638876,0.5761895,0.016828552
774,489-4,naive,M,8,220806,281,0.24407014,0.19695933,0.09500129,0.06916156,0.39480767
